gram,counts
positivos CV,1923
self employed,1920
na get,1919
re going,1913
pegar CV,1912
CV confirmed,1909
brote CV,1902
bernie sanders,1898
contain CV,1898
best way,1898
mr president,1896
mar lago,1894
still open,1892
peor CV,1891
CV mundo,1886
confirms first,1882
CVpandemic covid_19,1882
CV real,1874
trump tests,1873
2019 covid,1873
watch live,1869
19 spread,1869
bringing total,1865
dies CV,1860
CV infections,1859
today CV,1858
via nbcnews,1857
schools close,1857
pm modi,1856
debe ser,1856
march 16,1856
19 preventifcegahcovid19,1851
sa mga,1851
feels like,1848
CV travel,1848
great job,1847
matar morí,1846
qui est,1846
response covid19,1844
20 000,1842
CV shutdown,1841
tout monde,1841
culpa CV,1839
front line,1832
martial law,1829
30 days,1829
CV says,1828
CV still,1823
latest updates,1823
new deaths,1822
one person,1820
bc CV,1818
people going,1817
via breitbartnews,1814
muerte CV,1814
frenar CV,1813
number cases,1807
ve got,1805
nous sommes,1803
terkait peduli,1800
par CV,1791
please please,1790
patrick day,1788
good job,1783
confirmed covid,1780
world news,1780
many cases,1777
let get,1776
public schools,1772
puto CV,1772
wake CV,1768
outbreak via,1767
help people,1762
live CV,1761
gets CV,1761
people think,1761
face mask,1760
CV hace,1760
semana santa,1759
makes sense,1758
next weeks,1758
CV cuarentena,1757
corona vírus,1755
200 000,1755
information CV,1754
medidas CV,1754
shelter place,1753
health workers,1753
exponentially flatten,1751
talking CV,1751
holy shit,1745
outbreak CV,1745
di indonesia,1744
even CV,1743
salud pública,1742
per CV,1741
care workers,1741
risk CV,1741
covid19 corona,1740
primera muerte,1739
CV made,1738
kita kenali,1738
rest world,1738
si da,1735
ve seen,1734
go work,1734
save us,1732
mientras dure,1729
CV no,1726
abc news,1724
polri dan,1721
high school,1720
pretty sure,1719
well soon,1719
slow CV,1716
19 tests,1715
good idea,1714
19 concerns,1712
every american,1712
crise du,1711
thanks CV,1711
amor tiempos,1710
19 chinese,1710
corea sur,1709
sa covid19,1708
CV taken,1705
grocery stores,1704
dan instansi,1702
johns hopkins,1702
agarre CV,1701
pour faire,1700
realdonaldtrump trump,1699
declares national,1694
test results,1694
closed due,1693
CV así,1692
animal crossing,1689
at home,1689
social distance,1688
va dar,1688
buenos días,1684
CV voy,1682
